Seq,Province,Number of rooms per person  ,Toilet presence percentage in dwellings,Percentage of house holds having problems with quality of dwellings,Employment rate,Unemployment rate,Average daily earnings,Job satisfaction rate,Savings deposit per capita,Percentage of house holds in middle or higher income groups,Percentage of house holds declaring to fail on meeting basic needs,Infant mortality rate,Life expectancy at birth,Number of applications per doctor ,Satisfication rate with health status,Satisfication rate with public health services,Net schooling ratio of pre-primary education between the ages of 3and5,Average point of placement basic scores of the system for Transition to Secondary Education from Basic Education,Average points of the Transition to Higher Education Examination,Percentage of higher education graduates,Satisfaction rate with public education services,Average of PM10 values of the stations (airpollution),Forest area per km2,Percentage of population receiving waste services,Percentage of households having noise problems from the streets,Satisfaction rate with municipal cleaning services,Murder rate (per million people),Number of traffic accidents involving death or injury (per thousand people),Percentage of people feeling safe when walking alone at night,Satisfication rate with public safety services,Voter turnout at local administrations,Rate of membership to political parties,Percentage of persons interested in union/association activities,Number of internet subscriptions (per hundred persons) ,Access rate of population to sewerage and pipesystem,Access rate to airport,Satisfaction rate with municipal public transport services,Number of cinema and theatre audience (per hundred persons),Shopping mall area per thousand people,Satisfication rate with social relations,Satisfication rate with social life,Level of happiness,Hopeful,Life Satisfaction Index,Life Expectancy Total,Life Expectancy Male,Life Expectancy Female
66,Sakarya,1.68,99.45,15.74,49.7,9.4,63.1745016,81.16,3801.64918,38.48,46.13,8.336926836,77.50336213,6301.084906,80.75,84,37.00048292,303.4143,198.2707477,12.53989642,80.56,64.5,42.02052239,99.74298225,14.2,70.23,26.80373022,2.768289257,76.85,89.42,91.3,23.64449331,22.08,10.50952819,80.00002144,10.54878049,74.15,89.45530532,132.4211488,89.06,67.91,69.64,84.2,0.775224215,77.50336213,74.80741011,80.3004328
67,Samsun,1.38,99.44,19.4575,47.2,6.6,55.18892116,80.87,4097.349662,36.14,46.12,10.1918122,78.10939264,4544.472438,70.99,84.31,39.15807481,304.8308,201.0175577,13.52316695,80.46,56,39.98272494,85.44145737,20.12,68.31,18.89780148,2.484273486,61.37,87.74,89.1,23.22039127,6.25,9.526302984,75.49998465,485.862069,66.11,64.54197635,128.2278823,86.53,50.33,61.01,81.51,0.533352018,78.10939264,75.087971,81.13262641
68,Siirt,0.94,88.12,28.4625,29.8,20.5,57.20987797,72.47,1161.939403,36.25,57.17,15.67886134,77.92872701,5786.546358,69.35,79.41,39.15494388,238.9723,194.5151005,12.57712091,68.78,113,36.82350883,68.22005176,17.64,45.86,28.26935037,1.79039219,62.17,86.92,87.5,25.0189307,3.64,3.099263112,65.98568943,68.79699248,30.73,16.35947306,78.52597325,94.18,21.5,71.65,74.32,0.831558296,77.92872701,74.56807484,81.15395112
69,Sinop,1.62,99.14,13.9275,43.5,6.2,51.47737452,89.3,4370.578802,39.55,48.25,9.306260575,78.61700439,7343.975207,71.25,80.55,38.85135135,298.9514,196.556433,11.89845744,87.48,36,62.01259402,54.69094394,10.1,64.26,19.55741568,2.053528647,76.95,93.68,86.8,21.04720534,9.84,9.878939597,53.68070563,102.2857143,49.23,4.009270215,0,96.19,71.17,77.66,81.12,1,78.61700439,75.98623626,81.36127722
70,Sivas,1.39,93.12,20.1875,44.7,10,61.23225966,79.22,4718.890223,33.47,40.66,8.567144999,77.78414217,4318.889948,69.19,79.38,29.03424326,306.7334,200.270994,13.23900674,72.39,30,9.883361738,73.0837645,13.17,75.66,19.25805147,2.259611373,72.64,87.61,88.7,32.65436878,7.65,7.974117179,72.92574737,167.6339286,65.32,55.84016459,0,84.56,56.91,59.52,80.48,0.491591928,77.78414217,74.79951452,80.92322027
71,Þanliurfa,0.83,64.45,27.7775,32.4,16.3,52.23750204,70.4,833.3702667,21.42,68.7,17.88581337,77.39406907,7887.506729,71.94,79.21,28.7800484,215.3259,190.5792678,8.560991067,74.03,49,0.465076395,84.88879738,14.99,61.55,39.01028734,1.209318907,68.61,86.02,86.8,20.02054059,4.01,2.631460605,78.000013,132.3351648,65.39,20.75769898,39.93136357,90.68,34.69,57.33,71.45,0.430213004,77.39406907,74.05690109,80.56819909
72,Þirnak,0.75,69.1,33.4525,30,20.1,49.41608429,73.84,616.2146243,23.46,67.22,17.45047837,77.99554435,7313.262735,69.38,57.52,26.12845375,224.0872,182.9391642,11.05868619,61.73,31,33.98940379,71.77796616,17.01,40.83,22.4964517,1.245485371,58.82,58.88,86.1,15.38072836,3.58,2.672578461,66.23016733,31.06164384,49.17,0.439703374,0,84.42,46.39,71.36,74.7,0.823430493,77.99554435,74.1456159,81.67577883
73,Tekirdag,1.4,93.72,13.4825,52.6,7.2,65.23695729,82.4,5364.512337,51.56,45.46,10.21481148,77.07317159,6133.431464,75.43,75.07,32.52665739,301.0243,197.5371003,13.29459304,76.88,56.33333,16.81518578,99.70766445,14.3,74.4,22.05723411,2.111980166,57.71,83.81,90.7,17.85106985,7.53,13.49252039,88.50001985,19.22222222,59.7,67.94830225,100.2291747,89.44,58.85,56.54,78.01,0.408071749,77.07317159,74.35734234,79.99422701
74,Tokat,1.37,95.24,18.5925,46.7,6.6,52.34156788,85.15,2259.599946,29.66,44.67,11.76166473,77.59503224,5590.823394,71.81,82.1,47.9106593,301.7927,198.2829253,11.76097706,78.64,49,41.55855407,73.57937851,12.25,61.73,15.05218089,2.662563554,70.82,88.05,89.6,27.89198542,6.77,6.745551244,70.92621086,43.13829787,65.11,27.5684038,46.82900723,91.3,60.58,59.33,77.92,0.486266816,77.59503224,75.06744841,80.16467117
75,Trabzon,1.46,94.84,20.5125,46.6,7.4,53.30979284,78.03,5825.674051,36.02,41.19,9.983522342,79.80470205,4591.547203,71.94,82.59,40.65959588,312.2141,200.7771182,15.50833651,71.69,57.5,41.48984443,99.33691714,24.59,72.52,15.64981964,1.86493684,68.92,83.02,86.5,22.79306694,7.86,11.01395181,82.50004565,3694.166667,67.18,115.5191436,122.1455381,85.95,60.65,57.59,80.25,0.4375,79.80470205,75.99984406,83.38753212
76,Tunceli,1.54,86.98,26.88,49.7,8.1,61.53771579,75.95,7184.451096,36.07,59.69,10.76320939,80.50430869,5328.792793,59.89,63.56,53.15614618,337.9903,199.065728,17.93420297,63.3,18,27.38947507,66.0475343,10.65,64.1,69.34251736,1.756677107,71.06,78.18,83.4,14.96583304,9.91,7.848417257,64.46369341,0,45.13,13.72981844,0,88.58,42.95,41.98,67.19,0,80.50430869,76.21303749,85.6549948
77,Usak,1.43,91.23,12.49,51.4,5.4,51.9949324,91.12,7665.957952,31.06,35.72,8.329773601,78.04205495,7647.464286,78.77,88.56,35.0631769,306.8946,200.289014,12.11237906,84.69,55,39.6,73.16308923,6.89,76.88,28.61566021,3.213538641,79.22,92.41,91.4,20.7386536,4.17,8.797026261,68.12673304,20.54794521,67.7,65.18504317,88.61125339,95.15,76.03,72.34,79.62,0.850896861,78.04205495,75.68847267,80.38875071
78,Van,0.86,82.26,30.5775,41.4,10.3,56.17255785,64.7,1128.756879,21.29,65.22,16.83634806,75.61266703,4955.48966,68.85,64.36,30.97328244,237.0894,192.3028042,9.547956828,66.7,49,1.352229817,97.06071253,14.03,57.6,32.24195839,1.521820436,58.82,75.74,81.7,15.99392888,5.72,2.59639885,90.00001842,1781.666667,55.28,23.0657128,35.92675364,91.8,40.4,58.69,75.1,0.468329596,75.61266703,73.23768476,78.01482033
79,Yalova,1.53,99.11,15.295,46.9,11,59.88532355,83.74,7456.506,38.8,39.4,8.075370121,78.62086711,7299.6,77.91,78.85,39.80290172,316.649,207.949945,15.99658536,70.82,33,58.4122807,87.36855117,17.46,66.15,17.65895265,2.635598683,54.2,80.55,84.9,20.3038674,7.73,15.97340562,84.86120063,2439.679245,66.31,115.1588864,115.2511545,85.05,56.48,63.73,74.69,0.609585202,78.62086711,75.56418034,81.89601766
80,Yozgat,1.47,85.17,28.745,47.1,8.6,58.95622196,77.42,3805.878953,25.96,50.97,10.72171547,77.82790659,5403.587248,69.68,81.05,32.64198488,300.704,195.6305947,9.871775618,82.46,42,16.40087655,70.61251618,14.19,72.12,23.11818014,2.401978916,72.79,89.21,84.4,23.98927165,6.35,5.695163677,70.21962271,0,56.97,10.68406695,0,87,46.35,60.7,77.19,0.524663677,77.82790659,75.02837655,80.71206507
81,Zonguldak,1.45,99.71,21.8575,51.2,7.6,85.55262085,80.49,7028.735997,49.95,47.96,8.465011287,77.88838427,5326.713748,69.54,72.86,30.13577023,310.3963,196.0116987,11.77601151,72.8,64.5,68.5272292,69.76480304,19.79,60.93,21.71023187,1.796939191,67.52,82.71,88.7,21.89217692,9.65,12.1627399,64.63745583,0.105448155,54.18,65.71837487,51.91751448,85.2,53.41,51.12,72.16,0.256165919,77.88838427,75.04307894,80.71837899
